fecha;dia;hora;grados;cantidad
20120123;16;1;28;168
20120123;17;1;28;271
20120123;18;1;27;324
20120123;19;1;26;77
20120124;7;2;22;6
20120124;8;2;23;162
20120124;9;2;24;157
20120124;10;2;25;153
20120124;11;2;25;156
20120124;12;2;25;145
20120124;13;2;26;165
20120124;14;2;28;150
20120124;15;2;28;190
20120124;16;2;27;208
20120124;17;2;27;277
20120124;18;2;27;321
20120124;19;2;27;86
20120124;20;2;23;1
20120125;7;3;18;11
20120125;8;3;18;199
20120125;9;3;20;177
20120125;10;3;21;171
20120125;11;3;22;150
20120125;12;3;22;167
20120125;13;3;23;173
20120125;14;3;23;158
20120125;15;3;24;175
20120125;16;3;24;178
20120125;17;3;23;274
20120125;18;3;23;287
20120125;19;3;22;65
20120125;20;3;22;4
20120126;7;4;22;10
20120126;8;4;23;204
20120126;9;4;24;177
20120126;10;4;23;170
20120126;11;4;24;172
20120126;12;4;25;164
20120126;13;4;24;201
20120126;14;4;25;202
20120126;15;4;25;202
20120126;16;4;25;230
20120126;17;4;25;309
20120126;18;4;25;329
20120126;19;4;24;115
20120126;20;4;24;1
20120127;7;5;23;4
20120127;8;5;23;187
20120127;9;5;24;175
20120127;10;5;25;155
20120127;11;5;26;161
20120127;12;5;26;164
20120127;13;5;27;204
20120127;14;5;27;143
20120127;15;5;26;197
20120127;16;5;26;208
20120127;17;5;26;232
20120127;18;5;26;322
20120127;19;5;26;74
20120128;8;6;25;3
20120128;9;6;26;56
20120128;10;6;26;130
20120128;11;6;27;156
20120128;12;6;27;138
20120128;13;6;28;64
20120128;14;6;28;29
20120128;15;6;27;2
20120130;7;1;26;11
20120130;8;1;25;153
20120130;9;1;25;135
20120130;10;1;24;116
20120130;11;1;25;116
20120130;12;1;25;47
20120130;13;1;23;101
20120130;14;1;25;151
20120130;15;1;27;143
20120130;16;1;27;148
20120130;17;1;26;131
20120130;18;1;25;226
20120130;19;1;28;76
20120130;20;1;27;3
20120131;7;2;24;11
20120131;8;2;24;172
20120131;9;2;23;179
20120131;10;2;24;136
20120131;11;2;25;112
20120131;12;2;26;118
20120131;13;2;26;165
20120131;14;2;27;169
20120131;15;2;27;199
20120131;16;2;29;204
20120131;17;2;30;254
20120131;18;2;29;338
20120131;19;2;29;91
20120201;7;3;25;17
20120201;8;3;26;238
20120201;9;3;27;203
20120201;10;3;29;159
20120201;11;3;30;201
20120201;12;3;31;197
20120201;13;3;31;206
20120201;14;3;27;175
20120201;15;3;28;185
20120201;16;3;28;236
20120201;17;3;28;244
20120201;18;3;27;212
20120201;19;3;24;5
20120202;7;4;25;10
20120202;8;4;25;226
20120202;9;4;27;188
20120202;10;4;27;156
20120202;11;4;27;192
20120202;12;4;27;179
20120202;13;4;28;227
20120202;14;4;28;220
20120202;15;4;26;238
20120202;16;4;26;262
20120202;17;4;25;313
20120202;18;4;25;384
20120202;19;4;24;70
20120202;20;4;22;2
20120203;7;5;25;10
20120203;8;5;25;223
20120203;9;5;26;187
20120203;10;5;26;142
20120203;11;5;26;114
20120203;12;5;27;196
20120203;13;5;27;210
20120203;14;5;27;200
20120203;15;5;27;203
20120203;16;5;26;243
20120203;17;5;26;281
20120203;18;5;26;295
20120203;19;5;27;101
20120203;20;5;27;1
20120204;8;6;26;2
20120204;9;6;27;77
20120204;10;6;28;114
20120204;11;6;28;143
20120204;12;6;29;131
20120204;13;6;29;114
20120204;14;6;29;31
20120204;15;6;29;1
