orden;id_esta;id_path;nom_esta;long;lat;cant
1;BT_136;BT_136_BT_129;PACIFICO;-58,4263198647396;-34,5777874974914;13176
2;BT_129;BT_136_BT_129;DERECHO;-58,392452073017;-34,5831330757635;13176
1;BT_136;BT_136_BT_133;PACIFICO;-58,4263198647396;-34,5777874974914;10417
2;BT_133;BT_136_BT_133;PLAZA ITALIA;-58,420997041078;-34,5801273443074;10417
1;BT_136;BT_136_BT_136;PACIFICO;-58,4263198647396;-34,5777874974914;39515
2;BT_136;BT_136_BT_136;PACIFICO;-58,4263198647396;-34,5777874974914;39515
1;BT_14 ;BT_14_BT_14;PARQUE LEZAMA;-58,3693603511372;-34,6279470454629;31574
2;BT_14 ;BT_14_BT_14;PARQUE LEZAMA;-58,3693603511372;-34,6279470454629;31574
1;BT_14 ;BT_14_BT_44;PARQUE LEZAMA;-58,3693603511372;-34,6279470454629;11070
2;BT_44 ;BT_14_BT_44;ADUANA;-58,3689178425541;-34,6112420249771;11070
1;BT_157;BT_157_BT_107;EMMA DE LA BARRA;-58,368876;-34,600418;14923
2;BT_107;BT_157_BT_107;RETIRO;-58,3748217877563;-34,5925888097729;14923
1;BT_157;BT_157_BT_157;EMMA DE LA BARRA;-58,368876;-34,600418;15930
2;BT_157;BT_157_BT_157;EMMA DE LA BARRA;-58,368876;-34,600418;15930
1;BT_28 ;BT_28_BT_28;INDEPENDENCIA;-58,3804806550249;-34,6173731525033;15779
2;BT_28 ;BT_28_BT_28;INDEPENDENCIA;-58,3804806550249;-34,6173731525033;15779
1;BT_28 ;BT_28_BT_48;INDEPENDENCIA;-58,3804806550249;-34,6173731525033;10457
2;BT_48 ;BT_28_BT_48;CONGRESO;-58,3892532601533;-34,6099304592001;10457
1;BT_32 ;BT_32_BT_107;UCA PUERTO MADERO;-58,3657458611297;-34,6155514279975;35002
2;BT_107;BT_32_BT_107;RETIRO;-58,3748217877563;-34,5925888097729;35002
1;BT_32 ;BT_32_BT_32;UCA PUERTO MADERO;-58,3657458611297;-34,6155514279975;24823
2;BT_32 ;BT_32_BT_32;UCA PUERTO MADERO;-58,3657458611297;-34,6155514279975;24823
1;BT_32 ;BT_32_BT_74;UCA PUERTO MADERO;-58,3657458611297;-34,6155514279975;17512
2;BT_74 ;BT_32_BT_74;PZA, ROMA;-58,3689503833679;-34,6017210875929;17512
